frame,time,pitch,freq,noteStr
326,1.89242630385,68.9868211044,439.665180598,A4-1.3c
327,1.89823129252,68.8494697701,436.190798941,A4-15.1c
328,1.90403628118,68.718806787,432.911089119,A4-28.1c
329,1.90984126984,68.5947923484,429.821074012,A4-40.5c
330,1.9156462585,68.4773866479,426.916052676,G#4+47.7c
331,1.92145124717,68.3665498789,424.191588618,G#4+36.7c
332,1.92725623583,68.2622422347,421.64349876,G#4+26.2c
333,1.93306122449,68.1644239088,419.267843058,G#4+16.4c
334,1.93886621315,68.0730550947,417.060914725,G#4+7.3c
335,1.94467120181,67.9880959857,415.019231049,G#4-1.2c
336,1.95047619048,67.9095067752,413.139524749,G#4-9.1c
337,1.95628117914,67.8372476567,411.418735853,G#4-16.3c
338,1.9620861678,67.7712788236,409.854004072,G#4-22.9c
339,1.96789115646,67.7115604694,408.442661633,G#4-28.8c
340,1.97369614512,67.6580527874,407.182226557,G#4-34.2c
341,1.97950113379,67.610715971,406.070396354,G#4-38.9c
342,1.98530612245,67.5695102138,405.105042119,G#4-43.1c
343,1.99111111111,67.534395709,404.284202997,G#4-46.6c
344,1.99691609977,67.5053326502,403.606081014,G#4-49.5c
345,2.00272108844,67.4822812307,403.069036246,G4+48.2c
346,2.0085260771,67.465201644,402.671582312,G4+46.5c
347,2.01433106576,67.4540540835,402.41238218,G4+45.4c
348,2.02013605442,-100.0,-100.0,null
349,2.02594104308,-100.0,-100.0,null
350,2.03174603175,-100.0,-100.0,null
351,2.03755102041,-100.0,-100.0,null
352,2.04335600907,-100.0,-100.0,null
353,2.04916099773,-100.0,-100.0,null
354,2.05496598639,-100.0,-100.0,null
355,2.06077097506,-100.0,-100.0,null
356,2.06657596372,-100.0,-100.0,null
357,2.07238095238,-100.0,-100.0,null
358,2.07818594104,-100.0,-100.0,null
359,2.08399092971,-100.0,-100.0,null
360,2.08979591837,-100.0,-100.0,null
361,2.09560090703,-100.0,-100.0,null
362,2.10140589569,-100.0,-100.0,null
363,2.10721088435,-100.0,-100.0,null
364,2.11301587302,-100.0,-100.0,null
365,2.11882086168,-100.0,-100.0,null
366,2.12462585034,-100.0,-100.0,null
367,2.130430839,-100.0,-100.0,null
368,2.13623582766,-100.0,-100.0,null
369,2.14204081633,-100.0,-100.0,null
370,2.14784580499,-100.0,-100.0,null
371,2.15365079365,-100.0,-100.0,null
372,2.15945578231,-100.0,-100.0,null
373,2.16526077098,-100.0,-100.0,null
374,2.17106575964,-100.0,-100.0,null
375,2.1768707483,-100.0,-100.0,null
376,2.18267573696,-100.0,-100.0,null
377,2.18848072562,-100.0,-100.0,null
378,2.19428571429,-100.0,-100.0,null
379,2.20009070295,-100.0,-100.0,null
380,2.20589569161,-100.0,-100.0,null
381,2.21170068027,-100.0,-100.0,null
382,2.21750566893,-100.0,-100.0,null
383,2.2233106576,-100.0,-100.0,null
384,2.22911564626,-100.0,-100.0,null
385,2.23492063492,-100.0,-100.0,null
386,2.24072562358,-100.0,-100.0,null
387,2.24653061224,-100.0,-100.0,null
388,2.25233560091,-100.0,-100.0,null
389,2.25814058957,-100.0,-100.0,null
390,2.26394557823,-100.0,-100.0,null
391,2.26975056689,-100.0,-100.0,null
392,2.27555555556,-100.0,-100.0,null
393,2.28136054422,-100.0,-100.0,null
394,2.28716553288,-100.0,-100.0,null
395,2.29297052154,-100.0,-100.0,null
396,2.2987755102,-100.0,-100.0,null
397,2.30458049887,-100.0,-100.0,null
398,2.31038548753,-100.0,-100.0,null
399,2.31619047619,-100.0,-100.0,null
400,2.32199546485,-100.0,-100.0,null
401,2.32780045351,-100.0,-100.0,null
402,2.33360544218,-100.0,-100.0,null
403,2.33941043084,-100.0,-100.0,null
404,2.3452154195,-100.0,-100.0,null
405,2.35102040816,-100.0,-100.0,null
406,2.35682539683,-100.0,-100.0,null
407,2.36263038549,-100.0,-100.0,null
408,2.36843537415,-100.0,-100.0,null
409,2.37424036281,-100.0,-100.0,null
410,2.38004535147,-100.0,-100.0,null
411,2.38585034014,-100.0,-100.0,null
412,2.3916553288,-100.0,-100.0,null
413,2.39746031746,-100.0,-100.0,null
414,2.40326530612,-100.0,-100.0,null
415,2.40907029478,-100.0,-100.0,null
416,2.41487528345,-100.0,-100.0,null
417,2.42068027211,-100.0,-100.0,null
418,2.42648526077,-100.0,-100.0,null
419,2.43229024943,-100.0,-100.0,null
420,2.4380952381,-100.0,-100.0,null
421,2.44390022676,-100.0,-100.0,null
422,2.44970521542,-100.0,-100.0,null
423,2.45551020408,-100.0,-100.0,null
424,2.46131519274,-100.0,-100.0,null
425,2.46712018141,-100.0,-100.0,null
426,2.47292517007,-100.0,-100.0,null
427,2.47873015873,-100.0,-100.0,null
428,2.48453514739,-100.0,-100.0,null
429,2.49034013605,-100.0,-100.0,null
430,2.49614512472,-100.0,-100.0,null
431,2.50195011338,-100.0,-100.0,null
432,2.50775510204,-100.0,-100.0,null
433,2.5135600907,-100.0,-100.0,null
434,2.51936507937,-100.0,-100.0,null
435,2.52517006803,-100.0,-100.0,null
436,2.53097505669,-100.0,-100.0,null
437,2.53678004535,-100.0,-100.0,null
438,2.54258503401,-100.0,-100.0,null
439,2.54839002268,-100.0,-100.0,null
440,2.55419501134,-100.0,-100.0,null
441,2.56,-100.0,-100.0,null
442,2.56580498866,-100.0,-100.0,null
443,2.57160997732,-100.0,-100.0,null
444,2.57741496599,-100.0,-100.0,null
445,2.58321995465,-100.0,-100.0,null
446,2.58902494331,-100.0,-100.0,null
447,2.59482993197,-100.0,-100.0,null
448,2.60063492063,-100.0,-100.0,null
449,2.6064399093,-100.0,-100.0,null
450,2.61224489796,-100.0,-100.0,null
451,2.61804988662,-100.0,-100.0,null
452,2.62385487528,-100.0,-100.0,null
453,2.62965986395,-100.0,-100.0,null
454,2.63546485261,-100.0,-100.0,null
455,2.64126984127,-100.0,-100.0,null
456,2.64707482993,-100.0,-100.0,null
457,2.65287981859,-100.0,-100.0,null
458,2.65868480726,-100.0,-100.0,null
459,2.66448979592,-100.0,-100.0,null
460,2.67029478458,-100.0,-100.0,null
461,2.67609977324,-100.0,-100.0,null
462,2.6819047619,-100.0,-100.0,null
463,2.68770975057,-100.0,-100.0,null
464,2.69351473923,-100.0,-100.0,null
465,2.69931972789,-100.0,-100.0,null
466,2.70512471655,-100.0,-100.0,null
467,2.71092970522,-100.0,-100.0,null
468,2.71673469388,-100.0,-100.0,null
469,2.72253968254,-100.0,-100.0,null
470,2.7283446712,-100.0,-100.0,null
471,2.73414965986,-100.0,-100.0,null
472,2.73995464853,-100.0,-100.0,null
473,2.74575963719,-100.0,-100.0,null
474,2.75156462585,-100.0,-100.0,null
475,2.75736961451,-100.0,-100.0,null
476,2.76317460317,-100.0,-100.0,null
477,2.76897959184,-100.0,-100.0,null
478,2.7747845805,-100.0,-100.0,null
479,2.78058956916,-100.0,-100.0,null
480,2.78639455782,-100.0,-100.0,null
481,2.79219954649,-100.0,-100.0,null
482,2.79800453515,-100.0,-100.0,null
483,2.80380952381,-100.0,-100.0,null
484,2.80961451247,-100.0,-100.0,null
485,2.81541950113,-100.0,-100.0,null
486,2.8212244898,-100.0,-100.0,null
487,2.82702947846,-100.0,-100.0,null
488,2.83283446712,-100.0,-100.0,null
489,2.83863945578,58.693797062,242.61239831,B3-30.6c
490,2.84444444444,58.8304121168,244.534473818,B3-17.0c
491,2.85024943311,59.0636433091,247.851123671,B3+6.4c
492,2.85605442177,59.3811548428,252.438699126,B3+38.1c
493,2.86185941043,59.7706109222,258.181882837,C4-22.9c
494,2.86766439909,60.2196757512,264.966475506,C4+22.0c
495,2.87346938776,60.7160135339,272.672899102,C#4-28.4c
496,2.87927437642,61.2472884745,281.170303758,C#4+24.7c
497,2.88507936508,61.8011647769,290.3112719,D4-19.9c
498,2.89088435374,62.3653066453,299.927209692,D4+36.5c
499,2.8966893424,62.9273782837,309.82460338,D#4-7.3c
500,2.90249433107,63.4750438962,319.782394751,D#4+47.5c
501,2.90829931973,63.9959676868,329.550790472,E4-0.4c
502,2.91410430839,64.4778138597,338.85185721,E4+47.8c
503,2.91990929705,64.9082466189,347.382258666,F4-9.2c
504,2.92571428571,65.2749301685,354.818452049,F4+27.5c
505,2.93151927438,65.5655287125,360.824570565,F#4-43.5c
506,2.93732426304,65.767706455,365.063069007,F#4-23.2c
507,2.9431292517,65.8691276001,367.208000191,F#4-13.1c
508,2.94893424036,65.8574563519,366.960527505,F#4-14.3c
509,2.95473922902,65.7203569144,364.065979561,F#4-28.0c
510,2.96054421769,65.4454934916,358.331444195,F4+44.5c
511,2.96634920635,65.0205302878,349.642618443,F4+2.1c
512,2.97215419501,64.4331315069,337.978423816,E4+43.3c
513,2.97795918367,63.6709613531,323.421809862,E4-32.9c
514,2.98376417234,62.7216840303,306.165246006,D#4-27.8c
515,2.989569161,62.6056091672,304.119351755,D#4-39.4c
516,2.99537414966,62.2571646372,298.05954546,D4+25.7c
517,3.00117913832,61.9373488653,292.603953507,D4-6.3c
518,3.00698412698,61.6582970392,287.925375755,D4-34.2c
519,3.01278911565,61.4321443467,284.188639948,C#4+43.2c
520,3.01859410431,61.2710259755,281.556089731,C#4+27.1c
521,3.02439909297,61.1870771136,280.194107583,C#4+18.7c
522,3.03020408163,61.1441382295,279.500018044,C#4+14.4c
523,3.03600907029,61.1783817265,280.053411155,C#4+17.8c
524,3.04181405896,61.2193411447,280.716776398,C#4+21.9c
525,3.04761904762,61.2679191047,281.505566238,C#4+26.8c
526,3.05342403628,61.325018227,282.435553543,C#4+32.5c
527,3.05922902494,61.391541132,283.52290376,C#4+39.2c
